Character,x
Absol,-0.9814328276171859
Aegislash,-2.1460324713616643
Armarouge,-0.2300159622487497
Azumarill,-0.903557066856018
Blastoise,0.8719617096585836
Blaziken,2.1288414385654524
Blissey,2.34098211736076
Buzzwole,-0.015797678598717328
Ceruledge,0.7500235111709431
Chandelure,-0.7210745013859587
Charizard,-2.5888733630629526
Cinderace,-2.0537523861992724
Clefable,-0.06193772117991342
Comfey,-0.5970586980435933
Cramorant,-2.190094909088136
Crustle,-1.3946156059932269
Darkrai,2.1288414385654524
Decidueye,-1.1198529553607754
Delphox,-0.7210745013859587
Dodrio,1.730062984590636
Dragapult,-2.0537523861992724
Dragonite,-0.9835104324719122
Duraludon,-1.2561954782496387
Eldegoss,1.9422036633859436
Espeon,0.03034236398247878
Falinks,-0.857417024274822
Garchomp,1.6839229420094401
Gardevoir,-0.23001596224874976
Gengar,-0.6287944162235667
Glaceon,-0.6287944162235667
Goodra,-1.7933940599680438
Greedent,1.4070826865222634
Greninja,0.04266908352897669
Gyarados,0.5193232982649627
Ho-Oh,-0.46071617515473023
Hoopa,1.80586114049708
Inteleon,0.7038834685897469
Lapras,-0.46071617515473023
Leafeon,1.6839229420094401
Lucario,-0.015797678598717328
Machamp,-0.903557066856018
Mamoswine,0.07440480170894982
Meowscarada,0.21490253430726308
Metagross,0.3051050146149302
Mew,0.21282492945253811
Mewtwo X,-1.8374564976945151
Mewtwo Y,0.7038834685897469
Mimikyu,0.9325060766410024
Miraidon,2.6639624154291326
Mr. Mime,-0.46071617515473023
Ninetales,0.6116033834273549
Pikachu,0.5193232982649627
Psyduck,2.34098211736076
Sableye,-0.9958371520184102
Scizor,-0.7210745013859587
Scyther,-0.23001596224874976
Slowbro,-0.06193772117991342
Snorlax,0.07440480170894982
Sylveon,-2.236234951669332
Talonflame,-0.047533396778690465
Tinkaton,1.852001183078276
Trevenant,1.4070826865222634
Tsareena,1.2390044454534273
Tyranitar,-2.0537523861992724
Umbreon,2.34098211736076
Urshifu,-0.35610937044584035
Venusaur,-0.7651369391124299
Wigglytuff,-0.46071617515473023
Zacian,1.2390044454534273
Zeraora,-1.0275728701983833
Zoroark,0.7500235111709431
